"Sweep (n)","APA (mV)"
1,84.9792440105775
2,83.2336386247393
3,81.7626914289805
4,85.8825642801721
5,91.571040572484
6,92.6452592714613
7,92.8161577008441
8,91.2048296523781
9,91.3024858977396
10,87.0483357091759
11,86.6577107277296
12,87.5915485739997
13,86.5539509670329
14,86.6882283044051
15,80.4443321165993
16,79.2480431109199
17,77.7404748231506
18,77.0935021976301
19,78.2897912033094
20,76.153560836025
21,78.9123497674895
22,76.8859826762368
23,81.359859416864
24,83.1115683180373
25,82.8796347353036
26,79.0588341355319
27,79.0222130435213
28,75.7019007012277
29,79.7790489450735
30,83.0688437106917
31,83.9050253116002
32,83.9050253116001
33,87.7441364573772
34,86.7065388504104
35,85.3698689920238
36,76.2756311427269
37,79.315181779606
38,83.709712820877
39,79.3518028716166
40,87.0788532858514
41,85.2783162619973
42,85.504146329396
43,86.5966755743786
44,81.5612754229223
45,85.8642537341668
