File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 10 (ms),APD 20 (ms),APD 50 (ms),APD 70 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
17421003,-75.0919816589053,62.8973402730526,137.989321931958,215.167241137485,-4.11376962320015,2.786000717875,0.0734444444444445,37.9334439650151,28.52,96.44,183.08,198.04,206,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
17421040,-79.2172258917367,56.8035901368467,136.020816028583,229.989629164106,-52.9144298936664,0.0989949493661161,0.00255555555555554,38.7371540997848,21.24,56.24,93.12,100.92,105.08,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
17502010,-68.2194229115417,67.6135269019051,135.832949813447,278.976446665293,-6.76472996891189,3.08769961118126,0.411148148148148,7.50994410430538,17.8,64.4,122.56,132.96,137.72,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
17n30003,49.841306226415,51.1474585081261,1.30615228171109,128.173822037086,-169.754020257843,0.00377123616632826,8.88888888888889e-5,42.4264068711929,398.836,398.904,0.144,0.088,0.072,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
17n30007,-73.0529750457949,59.5703096705621,132.623284716357,378.417950776136,-171.237513568171,8.73606857929941,0.559111111111111,15.6249239295896,12.996,51.036,249.264,288.528,299.788,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
17n30012,-75.7446253085733,57.8002902233835,133.544915531957,335.693343430393,-177.383414426669,6.10893118493098,1.28452962962963,4.7557728868367,13.424,62.668,204.188,223.752,232.572,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215005,-81.8623065172651,55.9423840629097,137.804690580175,280.41992814288,-101.779177079628,1.74891077213474,0.0672222222222223,26.0168544615085,34.16,110.24,198.2,211.84,218.8,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215021,-84.6541766968558,50.2880870615263,134.942263758382,212.32910630843,-54.2236340244919,1.04651803615609,0.200266666666667,5.22562268386862,10,29.08,76.84,88.64,94.28,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215028,-90.5805073957259,46.2921152925219,136.872622688248,279.772955472159,-10.7269289507029,2.93685016452812,0.333222222222222,8.81348832302537,32.52,119.44,222.48,237.16,244.64,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215032,-85.8427143210779,53.1317150547739,138.974429375852,276.956182948262,-39.0533455994722,3.87494516090228,0.452607407407407,8.56138255248286,75.72,226.24,350.68,364.52,371.12,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215048,-81.5529803384761,54.9926770104321,136.545657348908,302.743537040289,-43.4814462843855,2.51730014102411,0.268918518518519,9.36082853234505,21.16,82,168.68,182.04,189.08,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215062,-75.2740495340686,58.1939710272991,133.468020561368,253.750616023334,-26.2023931637937,2.03646752981726,0.208207407407407,9.78095618775188,17,52.52,109.88,120.04,125.52,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18215067,-97.3027365498857,41.4385995590374,138.741336108923,260.360723592959,-107.254030717625,4.16250191858481,0.406555555555555,10.2384578483912,47.84,153.24,257.32,270.96,278.04,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18d03011,-78.4894426723445,58.5974134191293,137.086856091474,310.495002057287,-70.8313004113269,2.22031529292576,0.158644444444444,13.9955439391594,26.52,79.88,148.64,160.92,167.84,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18d03015,-84.2497577425038,54.5733654776223,138.823123220126,311.047370233696,-5.1818848814493,3.48839345385363,0.15282962962963,22.8253739952617,19.76,75.88,160.12,173.68,180.08,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18d03019,-83.904909101983307,55.3344738930719,139.239382995055,361.520393822806,-126.898196195769,2.21560124771785,0.330874074074074,6.69620686938993,27.12,91.8,182.88,197.48,206.48,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18d12020,-80.2661150753375,54.6698010266528,134.93591610199,237.472539487617,-28.1188971128809,1.97989898732232,0.0408148148148148,48.5093218309462,22.44,73.16,142.64,156.32,164.04,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18d12024,-84.797182071146,51.2280284887857,136.025210559932,233.08411165515,-43.3685312427991,1.92333044482741,0.0748592592592593,25.6926192412132,15.08,50.92,119.24,134.28,142.52,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
18d12052,-78.9212664124653,54.5599377429471,133.481204155412,152.001956522506,-26.4617925836543,2.56444059310322,0.132,19.4275802507819,29.44,94.64,184.08,198.84,206.6,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
19307004,-73.367916437086,54.5654270957813,127.933343532867,187.652578977606,-5.08626277924887,3.23854905783438,0.361488888888889,8.95891729283503,20.96,67.96,159.68,174.36,181.8,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
19307005,-80.256227379804,54.1986096098708,134.454836989675,311.090094844035,-26.8127447399361,4.47362890230689,0.359488888888889,12.4444149473827,18.04,53.24,146.24,162.72,171.12,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
19307009,-83.1502093780832,53.6157238546548,136.765933232738,226.913457220348,-68.5211196956279,2.31459619708396,0.0761703703703704,30.3870939031737,25.92,70.28,144.88,158.56,164.96,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
19314011,-68.820187160904,58.3007784808616,127.120965641766,189.117422658027,-9.46044876940267,3.03584511389425,0.0827407407407407,36.6910555394561,69.4,209.68,345.28,362.28,371.16,GP_CTRL_Tyr_0.5Hz,GP,CTRL,Tyr,0.5Hz
17421004,-70.5044571423037,61.9512953300319,132.455752472336,203.2196090345,-4.20379648068086,2.24859956417322,0.120111111111111,18.7209954464006,19.08,70.6,162.92,177.92,185.36,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
17421041,-77.9468401211539,54.8260510301452,132.772891151299,213.720707902028,-56.6650403290625,0.678822509939086,0.127555555555556,5.32177925910433,15.28,38.6,67.24,74.16,78.04,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
17502011,-67.0966201520701,67.081910679085,134.178530831155,263.720709019613,-6.83898941067635,1.7819090885901,0.0525037037037036,33.9387312302009,14.92,48,96.96,107.2,111.8,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
17n30004,-76.3183557500726,60.05859089737,136.376946647443,384.012839833282,-162.298021410676,3.61897250611275,0.342676296296296,10.5609070286659,11.576,37.524,145.2,173.432,184.516,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
17n30008,-72.9553188004333,57.1899386898737,130.145257490307,384.521466111219,-177.001944717935,4.68764655474602,0.186333333333333,25.1573160362041,8.092,30.648,151.02,191.88,202.816,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
17n30013,-74.8168909776384,57.3730441499266,132.189935127565,295.003241196438,-173.950187050137,4.02249477590987,0.11478,35.0452585459999,13.744,56.268,184.484,208.228,217.824,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18215006,-82.2660540848833,54.2688000411272,136.534854126011,274.166876245296,-126.657107323195,1.54149278298668,0.0674148148148146,22.8657868039998,22.08,74.52,153.04,167.08,174.16,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18215022,-85.2722797380152,49.5477305996656,134.820010337681,252.41394607158,-90.8020039827083,1.39064333633355,0.061888888888889,22.4700000484774,13.16,42.92,98.92,111.68,117.56,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18215029,-90.4382344433271,44.9774179975111,135.415652440838,209.14612283884,-4.00390633949439,3.50724963468528,0.115925925925926,30.2542300755599,25.52,91.4,191.16,207.56,215.6,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
